Code,Latitude,Longitude,Comments,Likelyhood
106,-41.28371375,174.75531915,609,unlikely
194,-41.2864655077,174.756228148,406,unlikely
220,-41.2870681414,174.752693606,260,unlikely
224,-41.2883231713,174.757778761,448,unlikely
235,-41.288172,174.73662977,811,unlikely
237,-41.288254498,174.738178608,728,unlikely
242,-41.2883893548,174.744771709,452,unlikely
244,-41.2881000446,174.747703411,344,unlikely
267,-41.2919680423,174.730107191,1033,unlikely
285,-41.2886847271,174.761239514,683,unlikely
324,-41.29020621,174.73896966,519,unlikely
359,-41.2919157249,174.746314841,133,unlikely
379,-41.2927205584,174.736229059,513,unlikely
424,-41.2937824068,174.754167563,67,unlikely
460,-41.2949864228,174.73887922,178,likely
519,-41.2958000758,174.764341657,1042,unlikely
528,-41.29758002,174.73214453,596,likely
549,-41.29691349,174.75746693,498,likely
632,-41.2992345575,174.72405208,1038,unlikely
654,-41.2993614595,174.750334401,42,likely
680,-41.2999702,174.73690277,103,likely
699,-41.3001922777,174.759196807,834,likely
744,-41.3033601347,174.725080711,853,unlikely
745,-41.3034603783,174.757843644,810,unlikely
830,-41.3054221878,174.753984965,471,unlikely
835,-41.3058191168,174.760693201,1127,unlikely
842,-41.3038521869,174.753629753,394,likely
858,-41.3068339574,174.753961041,506,unlikely
888,-41.30795388,174.75491129,642,unlikely
889,-41.30582446,174.72149021,1091,unlikely
891,-41.3077045956,174.759233354,1033,unlikely
952,-41.30688494,174.75208315,346,unlikely
956,-41.3067911023,174.756912395,785,unlikely
985,-41.30772296,174.7476736,95,likely
1096,-41.31031322,174.74789379,232,unlikely
1131,-41.31177888,174.74539003,95,unlikely
1266,-41.3219043553,174.740662429,765,unlikely
1274,-41.31484087,174.73954181,157,unlikely
1395,-41.31710055,174.74943958,754,unlikely
1675,-41.3244342122,174.732503706,928,unlikely
0,-41.31211809,174.7336842,-168,likely
1,-41.30918778,174.73851125,-250,likely
2,-41.31039402,174.74539607,-10,unlikely
3,-41.29857269,174.74058536,-165,vlikely
4,-41.29759217,174.74744955,-247,vlikely
5,-41.30320084,174.73969453,-275,vlikely
6,-41.30143804,174.74407432,-498,vlikely
7,-41.30561206,174.73532278,-180,likely
8,-41.29930518,174.74898704,-93,vlikely
